,SaddleY@Mainsketch,UpperLeg@Mainsketch,HandleX@Mainsketch,HandleY@Mainsketch,Arm@Mainsketch,SaddleX+.2@Mainsketch,CrankLength@Mainsketch,LowerLeg@Mainsketch,TorsoLength@Mainsketch,Neckandhead@Mainsketch,TorsoWidth@Widthdef
Config_0012,0.6729999999999999,0.3993038967536871,0.5776700572730161,0.6115188942819428,0.6701373614705366,0.401,0.165,0.5144153263627937,0.5009151845320434,0.3010580183141138,0.37129701620163347
Config_0013,0.7440000000000001,0.4253957627764977,0.439,0.695,0.5873771001701307,0.424,0.17,0.5350848154679566,0.5215846736372063,0.3139019304997103,0.347307170697418
Config_0014,0.69,0.3944129725288294,0.5289195478842115,0.5157597005439978,0.649604546212635,0.39799999999999996,0.17300000000000001,0.5422479514441682,0.4937520485558319,0.3105538087964315,0.27207600979003344
Config_0015,0.7240000000000001,0.4169034526890314,0.4830717967697245,0.7083205080756887,0.6272808346062448,0.431,0.175,0.5190530227548258,0.5169469772451742,0.2977974021642086,0.32096483160491457
Config_0016,0.746,0.38496690376262716,0.5222223006464165,0.5464827459133516,0.6623580034222328,0.41700000000000004,0.17,0.5734623661277822,0.5261361064795899,0.3480774938812291,0.3803554802949309
Config_0017,0.525,0.4387781916832033,0.3885286712955517,0.5927664439386056,0.6150865345678753,0.42200000000000004,0.175,0.5098638935204102,0.4625376338722178,0.30421647828993803,0.33211390592570955
Config_0018,0.672,0.4045022911872384,0.5579999999999999,0.657,0.6383711629926084,0.413,0.175,0.4899890828787214,0.5068431286419538,0.3175219802469284,0.30651950185471105
Config_0019,0.488,0.36676456849522904,0.17538955613118748,0.8405067694099448,0.712385614292151,0.494,0.17,0.5075846736372063,0.5145562331381025,0.29944619120356847,0.3294758434627338
Config_0020,0.7,0.4072829703703926,0.41100000000000003,0.747,0.6356288370073916,0.361,0.17300000000000001,0.5596022519604299,0.5562479514441682,0.3295971751843318,0.375480498145289
Config_0021,0.7070000000000001,0.4531162408218437,0.5639195478842115,0.5217597005439977,0.6589134654321247,0.402,0.17300000000000001,0.5264688814809971,0.5330530227548258,0.2834496886591944,0.3498860940742905
Config_0022,0.69,0.3776961032463129,0.5669876483896696,0.6857214933686675,0.5939549434274194,0.39799999999999996,0.17300000000000001,0.5384566709327303,0.5238638935204102,0.30578352171006196,0.31781553972824433
Config_0023,0.69,0.42082546701120843,0.5669876483896696,0.6857214933686675,0.6467191653937552,0.39799999999999996,0.17300000000000001,0.49809220077542005,0.5874623661277822,0.2619225061187709,0.3610351683950855
Config_0024,0.6729999999999999,0.3825870274711706,0.15468617482803634,0.7413950221192538,0.6301015320496991,0.449,0.17300000000000001,0.5121361064795898,0.519284126555465,0.30264460250841807,0.3863695084158806
Config_0025,0.5770000000000001,0.4018528957495655,0.43700000000000006,0.731,0.6038626385294634,0.365,0.16699999999999998,0.4928431286419538,0.53790779922458,0.28838978243589203,0.3107029837983666
Config_0026,0.5770000000000001,0.3382218083167967,0.43700000000000006,0.731,0.6411219456102684,0.365,0.16699999999999998,0.47975204855583187,0.5095311185190029,0.3089419816858862,0.34476863598653107
Config_0027,0.5770000000000001,0.39203309623737287,0.44,0.72,0.5783421097029294,0.365,0.16699999999999998,0.5214437668618975,0.5490848154679566,0.2766440572400747,0.2873699288712498
Config_0028,0.69,0.41341532634616196,0.4376818747056359,0.6799010135383441,0.666067880737189,0.39799999999999996,0.17,0.5466659040172811,0.5284153263627938,0.3239356351260209,0.32393088940027903
Config_0029,0.583,0.3572052521004464,0.4659195478842115,0.3757597005439977,0.6986584643627074,0.387,0.135,0.5574292512816962,0.5244320557283263,0.31096204825860974,0.38815096249430725
Config_0030,0.583,0.3999331636429067,0.4659195478842115,0.3757597005439977,0.6335674746628969,0.387,0.135,0.5070121113378143,0.5951092114708587,0.28121671299601325,0.33533056572826436
Config_0031,0.579,0.3704265164050673,0.41200000000000003,0.612,0.5891828664269766,0.415,0.165,0.4974620714372749,0.5151599634103743,0.3046083142953975,0.34540042886861877
Config_0032,0.6890000000000001,0.4110064612640382,0.5289195478842115,0.5127597005439978,0.6445987431523545,0.424,0.17,0.5375801433584603,0.557282634037667,0.3533511803247301,0.2897677227236456
Config_0033,0.726,0.44135011231089205,0.4830717967697245,0.7083205080756887,0.6815444524416687,0.425,0.175,0.5115679442716737,0.5498960497501132,0.2729798267022785,0.37662221686914976
Config_0034,0.677,0.37579271747396403,0.4948700941226902,0.5454755828367197,0.6159142691392452,0.415,0.175,0.5454857661557808,0.49841985664153976,0.3143365024570518,0.34037330287263595
Config_0035,0.648,0.4178369263182163,0.38799999999999996,0.667,0.6632575381413779,0.43700000000000006,0.152,0.5023550300250159,0.5385379285627251,0.2866688666493377,0.4183618885195682
Config_0036,0.725,0.3974430723879146,0.4855289285747078,0.68123647763422,0.7216145655682777,0.42700000000000005,0.17300000000000001,0.5506199106747909,0.5221559075778288,0.31612251187237383,0.32172161749873845
Config_0037,0.654,0.42189582831482786,0.4535289285747078,0.64023647763422,0.6125250844165873,0.405,0.17300000000000001,0.5232837064418348,0.5017079955976604,0.30303855695022675,0.2774023076502434
Config_0038,0.696,0.3879124714430962,0.4700717967697245,0.6833205080756888,0.647433584452567,0.42100000000000004,0.175,0.5342920044023396,0.5533590287742758,0.32455795087881084,0.3531953745524338
Config_0039,0.3632,0.46102677048709517,0.4083375302696859,0.6241678162084021,0.5953792477430232,0.3118,0.1725,0.49487235778505795,0.5127162935581653,0.296528478315976,0.3076189355738095
Config_0040,0.669,0.3926254020643301,0.4783038475772934,0.6569903810567667,0.6533388792998407,0.40700000000000003,0.172,0.49994794181185687,0.46736459130803304,0.29985212947798123,0.35879601899579816
Config_0041,0.7170000000000001,0.4025047536855777,0.5464826304793141,0.5216741718318935,0.6418129690750518,0.42200000000000004,0.17300000000000001,0.5284710341417683,0.5175355877430728,0.2929510109367115,0.3479474223107242
Config_0042,0.711,0.43270402733841307,0.4986076951545868,0.675,0.6191161967641613,0.42200000000000004,0.172,0.5686354086919669,0.4947484103637649,0.30617565872137886,0.37229272140609737
Config_0043,0.711,0.3986793481961645,0.4891076951545867,0.679937822173509,0.5523854344317223,0.42200000000000004,0.172,0.5196449699749841,0.4966409712257243,0.32333113335066227,0.3002736434819029
Config_0044,0.687,0.4241749305059801,0.5709195478842115,0.4967597005439977,0.6614749155834128,0.409,0.17300000000000001,0.543282634037667,0.5187038985309063,0.27553064844105796,0.3288046254475662
Config_0045,0.69,0.3689968778805602,0.40712558109983854,0.7226045171529758,0.626566415547433,0.39799999999999996,0.17300000000000001,0.5298530180487919,0.5278440924221712,0.31521931613476495,0.4045976923497567
Config_0046,0.583,0.31597322951290485,0.4179195478842115,0.3857597005439977,0.6488759062288586,0.387,0.135,0.5811092114708587,0.5482920044023396,0.3022497319571133,0.3602783825012616
Config_0047,0.556,0.3890875285569038,0.447,0.662,0.5980382002993675,0.359,0.17300000000000001,0.5104320557283263,0.508872357785058,0.3370201732977215,0.31699310798502595
Config_0048,0.6859999999999999,0.3843745979356699,0.5959195478842115,0.5397597005439977,0.5854286347718515,0.41,0.17300000000000001,0.5537305597604659,0.5324644122569272,0.2919979185870401,0.3097072785939027
Config_0049,0.69,0.4365302599465823,0.5779195478842115,0.4767597005439977,0.6432009437347109,0.39799999999999996,0.17300000000000001,0.5058620751912396,0.48809173940547446,0.3189856660476644,0.3545544346944384
Config_0050,0.5770000000000001,0.36274546577574507,0.3681971858641586,0.7560030354440673,0.669079483363659,0.382,0.17300000000000001,0.5245379285627251,0.5552515896362352,0.3053916857046025,0.3340525776892759
Config_0051,0.69,0.41599670002599337,0.5669534384583205,0.5171638918552328,0.6548838032358387,0.42,0.17300000000000001,0.5149878886621857,0.5232952948540007,0.32878328700398674,0.3441383088796372
Config_0052,0.687,0.3770668363570933,0.5709195478842115,0.4967597005439977,0.6651110397959271,0.409,0.17300000000000001,0.5327562458885703,0.5163550300250159,0.28999569249064117,0.39223227727635446
Config_0053,0.365,0.3659935387359618,0.3596635051593657,0.6686066876654646,0.6027735859620811,0.307,0.17300000000000001,0.5035355877430728,0.5061469819512081,0.32586316526636905,0.3466694342717357
Config_0054,0.6679999999999999,0.44812283657789687,0.5289195478842115,0.5157597005439978,0.6294012568476455,0.391,0.17300000000000001,0.5220520581881432,0.5255679442716737,0.31014787052201875,0.32606159606871715
Config_0055,0.685,0.41259517696793757,0.5439195478842115,0.5487597005439977,0.5924555475583313,0.415,0.17300000000000001,0.562088441900529,0.5301379248087604,0.3006578610557974,0.3416266971273641
Config_0056,0.687,0.38198679158369614,0.5269195478842115,0.5217597005439977,0.6580857308607548,0.409,0.17300000000000001,0.5172961014690938,0.5210121113378143,0.32106345131195835,0.3053777831308503
Config_0057,0.618,0.35916307368178374,0.3359876483896697,0.6867214933686675,0.6349425972375871,0.565,0.17300000000000001,0.5393590287742758,0.5001039502498869,0.26976659179273865,0.33146072278622446
Config_0058,0.6940000000000001,0.401207282526036,0.5319195478842115,0.5037597005439977,0.7065599760075464,0.41100000000000003,0.17,0.4987162935581652,0.5398180083954092,0.30696144304977324,0.3790532592063788
Config_0059,0.647,0.41736669585886266,0.5349195478842115,0.4967597005439977,0.7003462283468214,0.38,0.17,0.5767205774670799,0.5036181839872791,0.2760985484036385,0.29290070581986327
Config_0060,0.37799999999999995,0.34675387536012303,0.4527082352860843,0.6264785744808954,0.6568656963240599,0.3307,0.175,0.49035657631775686,0.5848423090511711,0.29588132168773723,0.36985613164256326
Config_0061,0.6659999999999999,0.4048419753896453,0.6227936203836004,0.5221768952004423,0.5900398755621912,0.39899999999999997,0.165,0.500858647696937,0.4887212402515862,0.3377465076553613,0.33628304570840467
Config_0062,0.693,0.3852625266153244,0.4428346159175404,0.6096230670185779,0.6225488639494721,0.413,0.175,0.5193485615520994,0.5557452339036253,0.31544309755196004,0.35699489103627957
Config_0063,0.363,0.44001684352517223,0.381143593539449,0.6123012701892219,0.6717835567751309,0.314,0.17300000000000001,0.4759314242804345,0.5142526785578208,0.28811169845249485,0.31307277137193473
Config_0064,0.691,0.41061912001315964,0.5309195478842115,0.5097597005439977,0.6507079554882407,0.396,0.17300000000000001,0.495857508549658,0.509202757123343,0.31923684391878837,0.3784251715266286
Config_0065,0.667,0.42602975146387634,0.5219195478842115,0.4977597005439977,0.6394008029676791,0.374,0.17,0.524222083552781,0.4970955273364328,0.3291852246341831,0.3629786799543914
Config_0066,0.642,0.40217801746839416,0.4549195478842115,0.4737597005439977,0.6601786688870945,0.449,0.17300000000000001,0.4802547660963747,0.5724824361002738,0.30402045685595736,0.33880498014383625
Config_0067,0.6559999999999999,0.41383245232125776,0.4899195478842115,0.5007597005439977,0.6254864730575829,0.41,0.17300000000000001,0.5124203375588618,0.5520153220702063,0.31035056412202194,0.29955928298541395
Config_0068,0.69,0.45648680427628957,0.5289195478842115,0.5157597005439978,0.6054386060159465,0.39799999999999996,0.17300000000000001,0.5389044726635672,0.5456434236822432,0.30085814694551277,0.36627124863818455
Config_0069,0.7140000000000001,0.40764166742767555,0.4959195478842115,0.4977597005439977,0.6896086030095246,0.38799999999999996,0.17300000000000001,0.5170056869290065,0.5258519844965805,0.3136862232235042,0.34382361662239763
Config_0070,0.43,0.3522221630487254,0.37948333950160457,0.7333012701892219,0.6195055879290693,0.358,0.17300000000000001,0.5607996154076665,0.5166514384479006,0.2706554376498852,0.30919789094845174
Config_0071,0.49,0.38407785535162936,0.4124136110601661,0.6130705574427542,0.5986686771533514,0.34,0.17,0.5067252601732417,0.479566031004016,0.3048041665367731,0.36459372801403694
Config_0072,0.69,0.4355006575820524,0.423,0.6509999999999999,0.6492395631243864,0.39799999999999996,0.17300000000000001,0.556433968995984,0.5292747398267583,0.35820134937234915,0.32134459875007215
Config_0073,0.6890000000000001,0.40910501245724196,0.5019195478842116,0.4997597005439977,0.669604699050249,0.40299999999999997,0.17300000000000001,0.5205397794665743,0.5339422843090003,0.27366622827863174,0.34762696488717953
Config_0074,0.7190000000000001,0.38879375019484036,0.496,0.687,0.5864224597063674,0.423,0.175,0.5449165616960071,0.5578157201931995,0.3224545178925408,0.3717911422494535
Config_0075,0.6890000000000001,0.3792493610596549,0.4998949961148301,0.6447632699980057,0.6325327603326806,0.40299999999999997,0.17300000000000001,0.5309181787086672,0.524716041478321,0.3145554397780777,0.31486350670991714
Config_0076,0.693,0.4235860983062143,0.5115349908318406,0.501519261611346,0.6943063883968823,0.409,0.17,0.491794817207836,0.6021419565899063,0.286964917723398,0.35843144041562164
Config_0077,0.653,0.4008866880433096,0.4284016096010952,0.5307639723702055,0.6655867895360282,0.381,0.17,0.5339020690783547,0.49523344116900064,0.3163518264708914,0.288605587751422
Config_0078,0.34600000000000003,0.39114714058349775,0.36220431075750603,0.6145759256397273,0.6857038120798565,0.299,0.165,0.4821793386720344,0.5078682309161783,0.3095428612500543,0.3111899894397724
Config_0079,0.7190000000000001,0.3656024086880229,0.4789195478842115,0.5837597005439977,0.5932152899588109,0.423,0.17300000000000001,0.5667191724545174,0.5538206613279656,0.3309004481341163,0.340059879176187
Config_0080,0.687,0.40622251974188456,0.5529195478842115,0.5017597005439977,0.6463634872135384,0.409,0.17300000000000001,0.5090107632553516,0.513026201558134,0.30005429569318387,0.4135192578947089
Config_0081,0.695,0.38644216888484645,0.5849195478842115,0.4967597005439977,0.6741063167802375,0.381,0.17300000000000001,0.5281317690838218,0.5315871488125787,0.2844713387372418,0.3182210497299386
Config_0082,0.695,0.44614052322881115,0.5849195478842115,0.4967597005439977,0.624029094811163,0.381,0.17300000000000001,0.48886566173175544,0.48609018260867265,0.3128331174218518,0.36141777858952057
Config_0083,0.7090000000000001,0.4192929918941373,0.3962132034355964,0.8314924240491751,0.6352857994979254,0.473,0.16,0.5407665588309994,0.5224410974359522,0.30637188741010235,0.35021220585059243
Config_0084,0.36700000000000005,0.34964932779882557,0.3871924249752741,0.6784959283299224,0.6111943599846471,0.34600000000000003,0.17300000000000001,0.4734443502055314,0.5414601483827925,0.3202650608746514,0.3298095422862754
Config_0085,0.47700000000000004,0.4164468849002134,0.35785900787512626,0.6958161882758807,0.5973948204564834,0.737,0.17600000000000002,0.554589985350749,0.4942547660963747,0.31411867831226276,0.37721044986835806
Config_0086,0.6990000000000001,0.42477783695127463,0.4341580471907576,0.6675858504465452,0.620277980388364,0.38799999999999996,0.165,0.530205182792164,0.5013138029558624,0.2980059639289221,0.29086596524581076
Config_0087,0.649,0.3989910541066169,0.29,0.6659999999999999,0.6428531202929798,0.415,0.17300000000000001,0.5881419565899063,0.5218704423948136,0.3107576286566202,0.3250051089637205
Config_0088,0.47700000000000004,0.4098552658781826,0.35785900787512626,0.6958161882758807,0.6318408312435676,0.737,0.17,0.5014602205334258,0.512404976325919,0.30441242448511685,0.3121438683574368
Config_0089,0.632,0.4130029624594527,0.4375005262950418,0.5297297478414295,0.6400883306807473,0.389,0.17,0.5175871488125787,0.5494880372438825,0.2837963904112929,0.3728021090515483
Config_0090,0.684,0.3917374733846756,0.5449195478842115,0.5497597005439977,0.6171343036759401,0.408,0.175,0.5398206613279656,0.5287014271529219,0.3300198343092509,0.3482685780000869
Config_0091,0.655,0.35963330414113737,0.439,0.759,0.6839601244378088,0.41600000000000004,0.175,0.5274601483827925,0.5195733702954541,0.29271537421879507,0.3157287513618155
Config_0092,0.64,0.4015293348352563,0.4989195478842115,0.4747597005439977,0.6290499928124049,0.38799999999999996,0.17300000000000001,0.4880979309216453,0.5669071048147242,0.3197460800087731,0.35916292235342623
Config_0093,0.64,0.3822872204182692,0.4689195478842115,0.4677597005439977,0.6022164432248691,0.38799999999999996,0.17300000000000001,0.5634868749159376,0.49798467792979373,0.30597954314404263,0.3381763833776024
Config_0094,0.35700000000000004,0.430246124639877,0.416759669181234,0.6597886201955155,0.651451136050528,0.331,0.17300000000000001,0.5084410974359522,0.538222083552781,0.2637294420336751,0.3989165516313795
Config_0095,0.365,0.39652584618303294,0.3496635051593657,0.6706066876654646,0.5916742157652966,0.307,0.17,0.5038287287551166,0.59072057746708,0.2886646916936982,0.3330868731090943
Config_0096,0.597,0.37738208126671113,0.4719195478842115,0.4697597005439977,0.6232920445117593,0.349,0.165,0.5223580202616852,0.5043565763177569,0.30284168441021625,0.35353298787496296
Config_0097,0.69,0.4203054143830607,0.5469195478842115,0.4937597005439977,0.6729251572098269,0.39799999999999996,0.17300000000000001,0.48123344116900063,0.543503611846753,0.3393445623501148,0.3081541419795869
Config_0098,0.34600000000000003,0.387030685283936,0.33420431075750606,0.6145759256397273,0.6345991970323209,0.299,0.165,0.49386823091617826,0.514858647696937,0.2963137767764958,0.3431950198561638
Config_0099,0.688,0.4504058369494873,0.5289195478842115,0.5157597005439978,0.7042472771002797,0.40399999999999997,0.17300000000000001,0.5331343382682445,0.5567602389300803,0.3242444639059084,0.2795167752226015
Config_0100,0.7235499999999999,0.40692693867180735,0.5431595478842115,0.5457697005439978,0.61028614346936,0.38969000000000004,0.17,0.5129892367446485,0.5333485615520994,0.277169250240082,0.3220959789419898
Config_0101,0.685,0.4427967671544183,0.6009195478842115,0.4197597005439977,0.6332229477178785,0.415,0.17300000000000001,0.5460685757195655,0.5298497282427547,0.2917550463502317,0.344453304943654
Config_0102,0.363,0.4055277397063371,0.3813523363193207,0.5795730777802268,0.6560656379545862,0.312,0.175,0.521141352303063,0.5511508693010729,0.3051958334632269,0.3671364932900829
Config_0103,0.6028,0.3482484647675924,0.5247195478842115,0.4432597005439977,0.5882961879201435,0.3727,0.1725,0.5316434236822432,0.49969094905581585,0.28236846883227623,0.3343730351128205
Config_0104,0.4051,0.3761133119566904,0.4361667439672533,0.6639925575368727,0.6706778118353397,0.3284,0.175,0.5118519844965805,0.5207252601732417,0.32839073220414283,0.3102088577505466
Config_0105,0.64,0.4183144772358265,0.5169195478842115,0.4737597005439977,0.6217991093588676,0.369,0.17,0.4452794225329201,0.570433968995984,0.29883290737310325,0.35489795715760675
Config_0106,0.6609999999999999,0.38108144353977585,0.406,0.639,0.649970905188837,0.429,0.17300000000000001,0.5380153220702063,0.5160577156909998,0.2749379411374145,0.40703289274611987
Config_0107,0.735,0.37350478965348793,0.5479195478842115,0.5507597005439977,0.6359717428489545,0.424,0.17300000000000001,0.5708423090511711,0.5321712712448834,0.3004571387499457,0.3059542191116356
Config_0108,0.685,0.4335930882938782,0.5299195478842115,0.5117597005439977,0.6753313228466487,0.415,0.17300000000000001,0.5187583179769318,0.5230107632553516,0.3207945303988653,0.34194012082381303
Config_0109,0.67,0.3786312626207853,0.4939195478842115,0.5577597005439977,0.604395300949751,0.39399999999999996,0.17300000000000001,0.4952027571233429,0.5639098173913274,0.3168150131612564,0.37081001056022767
Config_0110,0.7140000000000001,0.42244729675158565,0.6006057107618679,0.496510503991703,0.6529576870464598,0.38799999999999996,0.168,0.5346861970441377,0.5184128511874213,0.2897349391253486,0.32641011470037956
Config_0111,0.7072999999999999,0.3977506389403451,0.5345399495757389,0.7125559938305964,0.6304506193220998,0.3925,0.1725,0.5141295576051864,0.4961793386720344,0.34342701548587407,0.29475767744582165
Config_0112,0.6920000000000001,0.38820624980515966,0.5069195478842116,0.5067597005439977,0.5796936116031177,0.392,0.17300000000000001,0.5235950236740811,0.5275589025640478,0.3099457043068161,0.3933944122485781
Config_0113,0.687,0.47506904737280276,0.5379195478842115,0.5457597005439977,0.6219871894703387,0.409,0.17300000000000001,0.5419954283825168,0.5889906812795768,0.31357874887409215,0.3188225568515948
Config_0114,0.6779999999999999,0.40855068586771737,0.494,0.447,0.6444233999403147,0.373,0.165,0.5189055683132653,0.5433299140457605,0.300758057176963,0.3405299902997325
Config_0115,0.693,0.35370331144424166,0.5269195478842115,0.5117597005439977,0.6086517400610538,0.405,0.17300000000000001,0.5720900685567216,0.5147075803245692,0.32119900567939785,0.37691481637446933
Config_0116,0.69,0.3979047855791183,0.5199195478842115,0.4737597005439977,0.656264704288264,0.39799999999999996,0.17300000000000001,0.5097217933290936,0.5565028663526449,0.29399159754956344,0.3303078309677178
Config_0117,0.696,0.37878617013363136,0.5407355971114354,0.5441250936637524,0.6978656990105466,0.42200000000000004,0.17300000000000001,0.5289844727452611,0.4896346356374595,0.2702196005654019,0.35070318522234134
Config_0118,0.6970000000000001,0.42272738128026943,0.5237625603542199,0.5027482391691938,0.6333952548517707,0.39799999999999996,0.17300000000000001,0.48980406682459876,0.5332006856911597,0.3070598543704168,0.3032626019196592
Config_0119,0.6931,0.3836319195029139,0.4394399495757389,0.7492559938305964,0.6388857789666242,0.4091,0.1725,0.5517318411966073,0.4769666079051166,0.3454802724743832,0.3248273517986682
Config_0120,0.69,0.4340528742345777,0.447,0.662,0.5661595231698294,0.39799999999999996,0.17300000000000001,0.5051392929783077,0.5285583334664816,0.3039224120190719,0.3686986636722019
Config_0121,0.615,0.41489740061459046,0.4899706956897365,0.5342121648404768,0.6001929051419933,0.409,0.17,0.5142724022636638,0.5665077510139718,0.2974830762956688,0.3886199006727482
Config_0122,0.653,0.3930706765301542,0.467292193538113,0.4933662466755496,0.6811619801572596,0.391,0.17,0.5348849421564945,0.5380647495821832,0.3102491499279431,0.3561133274005844
Config_0123,0.625,0.3709520537955922,0.4619706956897364,0.6022121648404768,0.6249424280355859,0.41200000000000003,0.17,0.5318267523427297,0.5741904526451918,0.3054896247383699,0.34810791066305785
Config_0124,0.621,0.42769291053382696,0.4499706956897364,0.6082121648404768,0.7187331564024084,0.42200000000000004,0.17,0.5212924196754308,0.48426815880339263,0.2829171464141554,0.31551419060210456
Config_0125,0.625,0.35795468383198,0.4829706956897365,0.5672121648404768,0.6595423848510242,0.41200000000000003,0.17,0.5027993143088403,0.5526797468052559,0.2991402380628753,0.3981283996939304
Config_0126,0.6920000000000001,0.4004084219745436,0.5069195478842116,0.5047597005439977,0.6123057906468239,0.392,0.17300000000000001,0.5463653643625405,0.5122487739611615,0.32898304501986547,0.33801907328494135
Config_0127,0.6859999999999999,0.41855610829130946,0.6180493495046548,0.41452088540252985,0.641640047777023,0.433,0.17300000000000001,0.5590333920948835,0.4639099314432784,0.32348067477610776,0.3820809776834614
Config_0128,0.675,0.3954650894821154,0.392,0.6729999999999999,0.6189206709568288,0.445,0.17,0.5263054441192972,0.507015527254739,0.2758175394995681,0.35336400918090244
Config_0129,0.40399999999999997,0.3860002736836789,0.373,0.662,0.6046588191418114,0.364,0.172,0.5165711822970803,0.5609703238326895,0.30234854412741546,0.3219091248239538
Config_0130,0.34299999999999997,0.44357014610737633,0.3516669391391198,0.6143641604534334,0.653148043739748,0.308,0.17,0.4694922489860282,0.5170944316867347,0.3373780028707472,0.3652149801936345
Config_0131,0.6809999999999999,0.36657317257717115,0.422731206917289,0.5217970404377054,0.6263871411630642,0.42100000000000004,0.17,0.5642344745704637,0.5635633575552551,0.2843048103782351,0.34429576699266684
Config_0132,0.711,0.4516966226448844,0.5109195478842115,0.6257597005439978,0.5977181695904242,0.401,0.17300000000000001,0.4882913524034316,0.49594576198506757,0.2999532770439502,0.32338655607930156
Config_0133,0.728,0.42056423625777595,0.4639195478842115,0.4527597005439977,0.5487824223983374,0.456,0.17,0.5400542380149325,0.5083727862820134,0.2930682030149711,0.3342128914831409
Config_0134,0.5639,0.396678174117171,0.4585681351426381,0.6715941207071959,0.6612565784435682,0.3736,0.1725,0.5177329198327115,0.47176552542953626,0.30627375773848264,0.3099590214663283
Config_0135,0.633,0.38243719963273215,0.5239195478842115,0.5157597005439978,0.6924265416530626,0.39299999999999996,0.17300000000000001,0.45615435210321686,0.5545271389624195,0.2890713691263153,0.3172001859281071
Config_0136,0.624,0.43063638744476623,0.5339195478842115,0.4467597005439977,0.6320139920636144,0.363,0.17,0.5131315726729606,0.5134885254246079,0.31623698451452514,0.36046655410030826
Config_0137,0.624,0.3598657791669767,0.5339195478842115,0.4467597005439977,0.6067045866085292,0.363,0.17,0.49403698533573914,0.532024976929343,0.3407052498087065,0.339275859230515
Config_0138,0.61,0.4016909234884536,0.4999195478842115,0.4587597005439977,0.6546888339702067,0.38,0.17,0.5333248007353492,0.4871135198173006,0.30313692080308835,0.4057684359590131
Config_0139,0.5805,0.39188524372103145,0.5153206354084879,0.2624010476999523,0.6430269576105133,0.4397,0.1725,0.48147286103758064,0.5228684273270394,0.2966354625490318,0.37465220101303476
Config_0140,0.41200000000000003,0.37232812587954844,0.358,0.684,0.6688195671480697,0.319,0.17300000000000001,0.5488864801826994,0.5419630146642609,0.27792281271849784,0.30062333242764844
Config_0141,0.43799999999999994,0.413208560851546,0.40299999999999997,0.708,0.6204697981556109,0.341,0.17300000000000001,0.503975023070657,0.5026751992646509,0.30944244416441113,0.349398639884709
Config_0142,0.33799999999999997,0.3695380199526616,0.3748280546354045,0.681978593151318,0.6024961074858228,0.35100000000000003,0.17300000000000001,0.48506163209124553,0.4919135314290729,0.2948920948741676,0.37937287203178477
Config_0143,0.69,0.41004491621661693,0.5679876483896696,0.6647214933686676,0.6516379405391943,0.39799999999999996,0.17300000000000001,0.5250147396555075,0.5343900355374896,0.3223116647951262,0.33162438090060053
Config_0144,0.527,0.3895283105805431,0.3188831803043305,0.6724168719889602,0.6292257227122805,0.358,0.165,0.5550344450934251,0.5586367989372331,0.2733276904839642,0.3056674342626487
