,BIKESTYLE,BB textfield,Seat tube length,Stack,Head tube upper extension2,Seat angle,CS textfield,FCD textfield,Seat tube extension2,Head tube lower extension2,Head angle,Saddle height,ERD rear,Wheel width rear,Dropout spacing,SPOKES composite front,SPOKES front,Wheel diameter front,Dropout spacing style,RIM_STYLE front,SAME_SIZED_FRONT_AND_REAR,BSD front,RIM_STYLE rear,Wheel diameter rear,SPOKES rear,Wheel width front,SPOKES composite rear,ERD front,BSD rear,SBLADEW front,SBLADEW rear,FORK0R,FORK0L,Fork type,Saddle P,Saddle thickness,Saddle angle,Saddle J,Saddle H,Saddle E,SADDLETIPtoMIDDLE,Saddle length,Seatpost setback,Seatpost LENGTH,Lower stack height,HEADSETprofile,Upper stack height,Headset spacers,Stem angle,CLAMPOFFSET,Stem kind,StemX,StemY,StemG,Collar height,Stem length,AEROF,Hand horizontal,Aerobar style,Pad vertical,Display AEROBARS,Hand vertical,HBARRISE,MtnBar angle,Mountain bar sweep,MTNDROP,HBARTHETA,Mountain bar rise,Handlebar angle,Bullhorn reach,BULLTHETA,Road bar reach,BULLRADIUS2,Road bar drop,Brake lever position,Brake lever brand,Bullhorn drop,Bullhorn rise,Bullhorn angle,HBAREXTEND,Handlebar style,HBARRAD1,HBARRAD2,TRACK_ERGO,Down tube front diameter,Down tube rear dia2,Down tube front dia2,Down tube rear diameter,Head tube type,Seat tube leading edge textfield,BB length,Seat tube chord length textfield,Top tube rear diameter,Down tube leading edge,Head tube diameter,DOWNTUBE Wheel cut,Wheel cut,Down tube aero diameter,Top tube rear dia2,Top tube front dia2,BB diameter,Head tube chord,Seat tube diameter,Seat tube type,OFFSET_AT_BB st,Top tube front diameter,Head tube d,Head tube B,Head tube E,Head tube D,Top tube type,OFFSET_AT_BB dt,CHAINSTAYOFFSET,CHAINSTAYAUXrearDIAMETER,Chain stay horizontal diameter,Chain stay position on BB,Chain stay taper,Chain stay back diameter,Chain stay vertical diameter,CHAINSTAYbrdgdia1,CHAINSTAYbrdgshift,CHAINSTAYbrdgCheck,Seat stay junction0,Seat stay bottom diameter,SEATSTAY_HF,SSTopZOFFSET,SEATSTAY_HR,SEATSTAYTAPERLENGTH,SEATSTAYbrdgdia1,SEATSTAYbrdgoffset,bottle SEATTUBE0 WBX,bottle SEATTUBE0 WBY,bottle SEATTUBE0 CAGE,bottle DOWNTUBE0 X,bottle DOWNTUBE0 CAGE,bottle DOWNTUBE0 WBY,bottle DOWNTUBE0 WBX,bottle SEATTUBE0 show,bottle DOWNTUBE0 show,bottle SEATTUBE0 X,Front Fender clearance,Front fender end angle,Front Fender include,Rear Fender include,Rear fender end angle,Fender clearance,Rear fender start angle,Front fender start angle,FDDIST,SPIDER_DIAMETER,Crank length,BELTorCHAIN,Number of cogs,Crank Q factor,PEDAL_LENGTH,Teeth on cog 2,Teeth on cog 3,Teeth on cog 4,Teeth on cog 5,Teeth on cog 6,Teeth on cog 7,Teeth on cog 8,Teeth on cog 9,MOUNT_TYPE,Pedal width,Teeth on cog 10,Number of chainrings,Teeth on chainring 0,Teeth on chainring 1,Teeth on chainring 2,CassZ,CassT,CassA,BRAZEonFDTYPE,Teeth on cog 11,DIRECTMOUNTFDTYPE,CLAMPFDTYPE,Display RACK,spc type
812,ROAD,72.0,515.0,565.6,33.5,73.0,412.0,575.0,49.0,50.6,73.0,718.0,582.0,23.0,130.0,1,7,674.0,2,SPOKED,True,622.0,SPOKED,674.0,7,23.0,1,582.0,622.0,80.0,80.0,45.0,375.0,0,10.0,52.0,0.0,50.0,30.0,34.0,148.0,278.0,21.0,300.0,13.7,0,24.8,10.0,-5.0,0.0,0,100.0,145.0,16.0,40.0,100.0,30.0,170.0,0,20.0,False,30.0,0.0,0.0,16.4,-10.0,68.0,10.0,15.0,150.0,40.0,87.0,110.0,139.0,52,CAMPAGNOLO,10.0,50.0,10.0,29.0,0,50.0,40.0,0,38.1,34.9,38.1,34.9,1,19.1,68.0,60.0,31.8,19.1,45.0,0.0,692.0,54.9,31.8,25.4,40.0,60.0,31.8,2,0.0,25.4,36.0,30.0,8.0,45.0,0,0.0,0.0,17.0,18.1,15.0,200.0,17.0,29.7,18.0,300.0,False,45.0,13.0,17.0,9.0,13.0,200.0,16.0,0.0,,,,200.0,0.0,14.0,15.0,False,True,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,150.0,172.5,1,8,140.0,81.0,14,15,17,18,19,21,23,23,BRAZEON,89.0,25,1,53,39,24,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
813,BMX,0.0,226.9,565.6,24.9,73.5,295.0,542.6,26.9,32.7,72.5,280.0,376.0,44.4,135.0,3,8,496.0,1,SPOKED,True,406.0,SPOKED,496.0,8,44.4,3,376.0,406.0,40.0,40.0,15.0,290.0,0,0.0,20.0,35.0,40.0,10.0,30.0,90.0,202.0,1.0,150.0,10.0,2,10.0,10.0,5.0,0.0,0,100.0,145.0,16.0,40.0,45.0,30.0,170.0,0,20.0,False,30.0,0.0,17.0,16.4,-0.0,68.0,200.0,10.0,150.0,40.0,87.0,30.0,139.0,46,SHIMANO,10.0,50.0,10.0,29.0,1,50.0,40.0,0,38.1,34.9,38.1,34.9,1,19.1,68.0,60.0,31.8,19.1,45.0,0.0,692.0,54.9,31.8,25.4,40.0,60.0,31.8,1,0.0,25.4,36.0,30.0,8.0,45.0,0,0.0,0.0,17.0,20.8,15.0,200.0,23.0,23.0,18.0,300.0,False,29.0,19.0,17.0,11.2,13.0,200.0,16.0,0.0,,,,200.0,0.0,14.0,15.0,False,False,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,80.0,165.0,1,0,140.0,81.0,13,14,15,16,17,19,21,23,BRAZEON,90.0,25,0,23,39,24,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
814,COMMUTER,70.0,515.0,565.6,34.0,74.0,405.0,585.0,49.0,49.9,73.0,715.0,582.0,23.0,130.0,1,7,674.0,2,SPOKED,True,622.0,SPOKED,674.0,7,23.0,1,582.0,622.0,80.0,80.0,45.0,375.0,0,10.0,52.0,0.0,50.0,30.0,34.0,148.0,278.0,21.0,300.0,13.7,0,24.8,10.0,-5.0,0.0,0,100.0,145.0,16.0,40.0,100.0,30.0,170.0,0,20.0,False,30.0,0.0,0.0,16.4,-10.0,68.0,10.0,15.0,150.0,40.0,87.0,110.0,139.0,52,CAMPAGNOLO,10.0,50.0,10.0,29.0,0,50.0,40.0,0,38.1,34.9,38.1,34.9,1,19.1,68.0,60.0,31.8,19.1,45.0,0.0,692.0,54.9,31.8,25.4,40.0,60.0,31.8,2,0.0,25.4,36.0,30.0,8.0,45.0,0,0.0,0.0,17.0,18.1,15.0,200.0,17.0,29.7,18.0,300.0,False,45.0,13.0,17.0,9.0,13.0,200.0,16.0,0.0,,,,,,,,False,False,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,150.0,172.5,1,8,140.0,81.0,14,15,17,18,19,21,23,23,BRAZEON,89.0,25,1,53,39,24,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
815,BMX,0.0,203.0,565.6,18.3,71.0,288.0,530.9,43.0,50.0,71.0,300.0,376.0,44.4,135.0,3,7,496.0,1,SPOKED,False,406.0,SPOKED,496.0,11,44.4,3,376.0,406.0,40.0,40.0,15.0,290.0,0,10.0,52.0,35.0,50.0,30.0,32.0,122.0,210.0,1.0,150.0,15.0,0,15.0,15.0,5.0,0.0,0,100.0,145.0,16.0,40.0,45.0,30.0,170.0,0,20.0,False,30.0,0.0,17.0,16.4,-0.0,68.0,210.0,10.0,150.0,40.0,87.0,30.0,139.0,46,SHIMANO,10.0,50.0,10.0,29.0,1,50.0,40.0,0,45.0,40.0,45.0,40.0,1,19.1,68.0,60.0,28.0,19.1,45.0,0.0,692.0,54.9,28.0,35.0,40.0,60.0,31.8,1,0.0,35.0,36.0,30.0,8.0,45.0,1,0.0,0.0,17.0,20.8,15.0,200.0,23.0,23.0,18.0,300.0,False,29.0,19.0,17.0,11.2,13.0,200.0,16.0,0.0,,,,200.0,0.0,14.0,15.0,False,False,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,80.0,165.0,1,0,140.0,81.0,13,14,15,16,17,19,21,23,BRAZEON,90.0,25,0,23,39,24,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
816,MTB,64.2,494.8,565.6,33.6,72.5,440.0,650.7,62.8,59.3,71.0,680.0,582.0,55.8,135.0,1,7,736.0,1,SPOKED,True,622.0,SPOKED,736.0,7,55.8,1,582.0,622.0,80.0,80.0,45.0,375.0,1,10.0,52.0,0.0,50.0,30.0,34.0,148.0,278.0,21.0,330.0,10.0,0,10.0,10.0,0.0,0.0,0,100.0,145.0,16.0,50.0,100.0,60.0,170.0,1,20.0,False,60.0,0.0,4.0,16.4,-10.0,68.0,10.0,4.0,150.0,40.0,87.0,110.0,139.0,46,CAMPAGNOLO,10.0,50.0,4.0,29.0,1,50.0,40.0,0,50.9,34.9,50.9,34.9,1,19.1,73.0,60.0,35.8,19.1,50.0,0.0,692.0,50.9,35.8,35.8,40.0,60.0,34.8,1,0.0,35.8,36.0,30.0,8.0,45.0,0,0.0,0.0,17.0,20.8,15.0,300.0,17.0,29.7,18.0,300.0,False,45.0,17.0,17.0,12.3,13.0,200.0,16.0,0.0,,,,,,,,False,False,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,120.0,175.0,1,0,120.0,81.0,14,15,16,17,19,21,23,25,BRAZEON,43.0,25,0,32,32,22,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
817,DIRT_JUMP,0.0,370.0,565.6,22.7,68.0,390.0,595.0,30.0,70.0,70.5,470.0,582.0,23.0,130.0,1,7,674.0,2,SPOKED,True,622.0,SPOKED,674.0,7,23.0,1,582.0,622.0,80.0,80.0,45.0,375.0,1,10.0,52.0,22.0,50.0,30.0,34.0,148.0,258.0,21.0,300.0,13.0,0,14.8,10.0,-5.0,0.0,0,100.0,145.0,16.0,40.0,27.0,30.0,170.0,0,20.0,False,30.0,0.0,10.0,16.4,-10.0,68.0,80.0,15.0,150.0,40.0,87.0,110.0,139.0,52,CAMPAGNOLO,10.0,50.0,10.0,29.0,1,50.0,40.0,0,70.0,40.0,70.0,40.0,2,19.1,68.0,60.0,40.0,19.1,55.0,0.0,692.0,54.9,40.0,25.4,40.0,60.0,33.0,1,0.0,25.4,39.0,30.0,8.0,48.0,0,0.0,0.0,17.0,18.1,15.0,200.0,33.0,33.0,18.0,300.0,False,45.0,25.0,17.0,9.0,13.0,200.0,16.0,0.0,,,,,,,,False,False,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,90.0,172.5,1,0,140.0,81.0,14,15,17,18,19,21,23,23,BRAZEON,89.0,25,0,28,39,24,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
818,MTB,51.0,400.0,565.6,38.9,73.0,415.0,612.5,54.3,59.5,71.0,680.0,544.0,55.0,135.0,1,7,700.0,1,SPOKED,True,584.0,SPOKED,700.0,7,55.0,1,544.0,584.0,80.0,80.0,45.0,375.0,1,10.0,52.0,0.0,50.0,30.0,34.0,148.0,278.0,21.0,330.0,10.0,0,10.0,10.0,0.0,0.0,0,100.0,145.0,16.0,50.0,135.0,60.0,170.0,1,20.0,False,60.0,0.0,4.0,16.4,-10.0,68.0,10.0,4.0,150.0,40.0,87.0,110.0,139.0,46,CAMPAGNOLO,10.0,50.0,4.0,29.0,1,50.0,40.0,0,50.9,34.9,50.9,34.9,1,19.1,73.0,60.0,35.8,19.1,50.0,0.0,692.0,50.9,35.8,35.8,40.0,60.0,34.8,1,0.0,35.8,36.0,30.0,8.0,45.0,0,0.0,0.0,17.0,20.8,15.0,300.0,17.0,29.7,18.0,300.0,False,45.0,17.0,17.0,12.3,13.0,200.0,16.0,0.0,,,,,,,,False,False,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,120.0,150.0,1,0,120.0,81.0,14,15,16,17,19,21,23,25,BRAZEON,43.0,25,0,32,32,22,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
819,DIRT_JUMP,7.0,307.0,565.6,21.3,71.33,381.0,639.9,42.3,50.7,70.33,375.0,500.0,30.0,130.0,1,7,612.0,2,SPOKED,True,512.0,SPOKED,612.0,7,30.0,1,500.0,512.0,80.0,80.0,45.0,375.0,1,10.0,52.0,15.0,50.0,30.0,34.0,148.0,278.0,0.0,150.0,1.0,0,6.0,5.0,0.0,0.0,0,100.0,145.0,16.0,40.0,40.0,30.0,170.0,0,20.0,False,30.0,0.0,20.0,16.4,5.0,68.0,50.0,15.0,150.0,40.0,87.0,110.0,139.0,52,CAMPAGNOLO,10.0,50.0,10.0,29.0,1,50.0,40.0,0,38.1,34.9,38.1,34.9,2,19.1,68.0,60.0,33.0,19.1,45.0,0.0,692.0,54.9,33.0,25.4,40.0,60.0,30.0,1,0.0,25.4,39.0,30.0,8.0,45.0,0,0.0,0.0,17.0,18.1,15.0,200.0,25.0,25.0,18.0,300.0,False,48.0,25.0,17.0,9.0,13.0,200.0,16.0,0.0,,,,,,,,False,False,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,104.0,175.0,1,0,140.0,81.0,14,15,17,18,19,21,23,23,BRAZEON,89.0,25,0,32,39,24,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
820,DIRT_JUMP,7.0,307.0,565.6,20.9,71.33,381.0,639.9,42.7,51.2,70.33,375.0,450.0,30.0,130.0,1,11,575.0,2,SPOKED,False,500.0,SPOKED,550.0,11,30.0,1,475.0,475.0,80.0,80.0,45.0,375.0,1,10.0,52.0,15.0,50.0,30.0,34.0,148.0,278.0,0.0,150.0,1.0,0,6.0,5.0,0.0,0.0,0,100.0,145.0,16.0,40.0,40.0,30.0,170.0,0,20.0,False,30.0,0.0,20.0,16.4,5.0,68.0,50.0,15.0,150.0,40.0,87.0,110.0,139.0,52,CAMPAGNOLO,10.0,50.0,10.0,29.0,1,50.0,40.0,0,38.1,34.9,38.1,34.9,2,19.1,68.0,60.0,33.0,19.1,45.0,0.0,692.0,54.9,33.0,25.4,40.0,60.0,30.0,1,0.0,25.4,39.0,30.0,8.0,45.0,0,0.0,0.0,17.0,18.1,15.0,200.0,25.0,25.0,18.0,300.0,False,48.0,25.0,17.0,9.0,13.0,200.0,16.0,0.0,,,,,,,,False,False,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,104.0,175.0,1,0,140.0,81.0,14,15,17,18,19,21,23,23,BRAZEON,89.0,25,0,32,39,24,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
821,BMX,0.0,230.0,565.6,23.7,71.0,358.85,585.0,25.0,37.8,73.0,270.0,470.0,55.88,130.0,1,7,580.0,2,SPOKED,False,500.0,SPOKED,570.0,7,61.0,1,470.0,500.0,80.0,80.0,20.0,340.0,0,20.0,30.0,30.0,50.0,30.0,34.0,100.0,200.0,0.0,100.0,10.0,2,10.0,0.0,0.0,0.0,0,100.0,145.0,16.0,40.0,80.0,30.0,170.0,0,20.0,False,30.0,0.0,14.0,16.4,10.0,68.0,203.2,15.0,150.0,40.0,87.0,110.0,139.0,52,CAMPAGNOLO,10.0,50.0,10.0,29.0,1,50.0,40.0,0,38.1,34.9,38.1,34.9,1,19.1,68.0,60.0,31.8,19.1,45.0,0.0,692.0,54.9,31.8,25.4,40.0,60.0,31.8,2,0.0,25.4,36.0,30.0,8.0,45.0,0,0.0,0.0,20.0,26.0,20.0,200.0,30.0,36.0,18.0,300.0,False,26.0,20.0,20.0,20.0,20.0,200.0,16.0,0.0,,,,,,,,False,False,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,0.0,175.0,1,0,200.0,80.0,14,15,17,18,19,21,23,23,BRAZEON,110.0,25,0,25,39,24,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
822,MTB,-1.0,280.0,565.6,21.5,74.0,327.0,590.0,50.8,52.9,71.0,350.0,480.0,23.0,135.0,1,7,584.0,0,SPOKED,True,482.0,SPOKED,584.0,7,23.0,1,480.0,482.0,80.0,80.0,45.0,375.0,1,10.0,52.0,15.0,50.0,30.0,34.0,148.0,200.0,21.0,100.0,5.0,2,15.0,0.0,5.0,0.0,0,100.0,145.0,16.0,34.0,42.0,30.0,170.0,0,20.0,False,30.0,0.0,20.0,8.0,2.0,68.0,80.0,15.0,150.0,40.0,87.0,110.0,139.0,52,CAMPAGNOLO,10.0,50.0,10.0,29.0,1,50.0,40.0,0,38.1,34.9,38.1,34.9,1,19.1,68.0,60.0,31.8,19.1,42.0,0.0,692.0,54.9,31.8,25.4,40.0,60.0,30.0,1,0.0,25.4,36.0,20.0,8.0,45.0,0,0.0,0.0,17.0,18.1,15.0,200.0,22.0,25.0,18.0,300.0,False,55.0,20.0,17.0,9.0,13.0,200.0,16.0,0.0,,,,200.0,0.0,14.0,15.0,False,False,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,150.0,180.0,1,0,140.0,81.0,14,15,17,18,19,21,23,23,BRAZEON,95.0,25,0,22,39,24,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
823,ROAD,70.0,515.0,565.6,34.0,74.0,405.0,585.0,49.0,49.9,73.0,718.0,582.0,23.0,130.0,1,7,674.0,2,SPOKED,True,622.0,SPOKED,674.0,7,23.0,1,582.0,622.0,80.0,80.0,45.0,375.0,0,10.0,52.0,0.0,50.0,30.0,34.0,148.0,278.0,21.0,300.0,13.7,0,24.8,10.0,-5.0,0.0,0,100.0,145.0,16.0,40.0,100.0,30.0,170.0,0,20.0,False,30.0,0.0,0.0,16.4,-10.0,68.0,10.0,15.0,150.0,40.0,87.0,110.0,139.0,52,CAMPAGNOLO,10.0,50.0,10.0,29.0,0,50.0,40.0,0,38.1,34.9,38.1,34.9,1,19.1,68.0,60.0,31.8,19.1,45.0,0.0,692.0,54.9,31.8,25.4,40.0,60.0,31.8,2,0.0,25.4,36.0,30.0,8.0,45.0,0,0.0,0.0,17.0,18.1,15.0,200.0,17.0,29.7,18.0,300.0,False,45.0,13.0,17.0,9.0,13.0,200.0,16.0,0.0,,,,200.0,0.0,14.0,15.0,False,True,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,150.0,172.5,1,8,140.0,81.0,14,15,17,18,19,21,23,23,BRAZEON,89.0,25,1,53,39,24,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
824,OTHER,-24.0,365.8,565.6,37.3,73.5,367.0,626.2,29.8,46.5,73.5,500.0,532.0,23.0,130.0,1,8,682.3,2,SPOKED,True,574.0,SPOKED,682.3,8,23.0,1,532.0,574.0,80.0,80.0,32.0,410.0,0,10.0,50.0,8.0,45.0,40.0,30.0,145.0,245.0,11.0,100.0,3.7,2,4.8,0.0,-5.0,0.0,0,100.0,145.0,16.0,30.0,55.0,30.0,170.0,0,20.0,False,30.0,0.0,0.0,10.4,-10.0,68.0,95.0,15.0,150.0,40.0,87.0,110.0,139.0,52,CAMPAGNOLO,10.0,50.0,10.0,29.0,1,50.0,40.0,0,38.1,34.9,38.1,34.9,1,12.8,68.0,27.0,31.8,19.1,45.0,0.0,700.0,54.9,31.8,25.4,40.0,60.0,31.8,0,0.0,25.4,36.0,30.0,8.0,45.0,0,0.0,-5.0,17.0,18.1,15.0,250.0,18.0,24.75,18.0,300.0,False,45.0,13.0,17.0,9.0,13.0,200.0,16.0,0.0,,,,,,,,False,False,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,90.0,175.0,1,0,100.0,81.0,14,15,17,18,19,21,23,23,BRAZEON,89.0,25,0,28,39,24,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
825,TOURING,70.0,589.8,565.6,27.0,74.0,405.0,591.8,19.8,36.9,72.5,725.0,600.0,28.0,130.0,1,7,674.0,2,SPOKED,True,622.0,SPOKED,674.0,7,28.0,1,600.0,622.0,80.0,80.0,42.0,360.0,0,10.0,52.0,0.0,50.0,30.0,34.0,148.0,278.0,22.0,300.0,11.0,0,30.0,10.0,-14.0,0.0,0,100.0,145.0,16.0,30.0,100.0,30.0,170.0,0,20.0,False,30.0,0.0,0.0,16.4,-10.0,68.0,10.0,9.0,150.0,40.0,95.0,110.0,125.0,33,CAMPAGNOLO,10.0,50.0,10.0,29.0,0,55.0,40.0,1,38.1,34.9,38.1,34.9,1,19.1,68.0,60.0,28.6,19.1,31.8,0.0,692.0,54.9,28.6,25.4,40.0,60.0,28.6,1,0.0,25.4,36.0,30.0,8.0,45.0,0,0.0,0.0,17.0,18.1,15.0,200.0,17.0,29.7,18.0,300.0,False,45.0,13.0,17.0,9.0,13.0,200.0,16.0,0.0,,,,200.0,0.0,14.0,15.0,False,False,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,148.0,170.0,1,5,140.0,81.0,16,17,18,19,19,21,23,23,BRAZEON,89.0,25,0,50,32,22,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
826,TRACK,62.0,574.1,565.6,28.2,74.0,395.0,550.0,14.1,34.4,77.0,718.0,622.0,23.0,120.0,1,8,674.0,3,SPOKED,False,622.0,SPOKED,674.0,8,23.0,1,622.0,622.0,80.0,80.0,40.0,355.0,0,10.0,40.0,-5.0,65.0,50.0,30.0,150.0,280.0,21.0,300.0,12.0,0,20.0,0.0,-15.0,0.0,0,100.0,145.0,16.0,40.0,80.0,30.0,170.0,0,20.0,False,30.0,0.0,0.0,16.4,-10.0,68.0,10.0,10.0,150.0,40.0,87.0,110.0,150.0,52,CAMPAGNOLO,10.0,50.0,10.0,29.0,0,50.0,40.0,1,25.0,25.0,25.0,25.0,1,19.1,68.0,60.0,25.0,19.1,28.0,0.0,692.0,54.9,25.0,25.4,40.0,60.0,27.0,2,0.0,25.4,36.0,30.0,8.0,45.0,0,0.0,0.0,17.0,18.1,15.0,200.0,17.0,29.7,18.0,300.0,False,45.0,13.0,17.0,9.0,13.0,200.0,16.0,0.0,,,,,,,,False,False,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,130.0,167.5,1,0,107.0,60.0,14,15,17,18,19,21,23,23,BRAZEON,50.0,25,0,46,39,24,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
827,DIRT_JUMP,20.0,304.8,565.6,30.8,74.0,391.47,605.9,38.8,52.0,73.0,420.0,582.0,23.0,135.0,1,7,674.0,1,SPOKED,False,622.0,SPOKED,674.0,7,23.0,1,582.0,622.0,80.0,80.0,45.0,375.0,1,10.0,52.0,16.0,50.0,30.0,34.0,148.0,258.0,5.0,300.0,13.7,2,24.8,10.0,-5.0,0.0,0,100.0,145.0,16.0,40.0,30.0,30.0,170.0,0,20.0,False,30.0,0.0,13.0,16.4,-0.0,68.0,80.0,15.0,150.0,40.0,87.0,110.0,139.0,52,CAMPAGNOLO,10.0,50.0,10.0,29.0,1,50.0,40.0,0,38.1,34.9,38.1,34.9,2,19.1,68.0,60.0,31.8,19.1,45.0,0.0,692.0,54.9,31.8,25.4,40.0,60.0,31.8,2,0.0,25.4,40.0,30.0,8.0,45.0,0,0.0,0.0,17.0,18.1,15.0,200.0,23.0,25.0,18.0,300.0,False,45.0,20.0,17.0,9.0,13.0,200.0,16.0,0.0,,,,,,,,False,False,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,80.0,152.5,1,0,140.0,81.0,14,15,17,18,19,21,23,23,BRAZEON,89.0,25,0,23,39,24,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
828,TRIALS,-35.0,220.0,565.6,20.8,73.0,420.43,680.0,13.4,40.0,73.0,300.0,570.0,55.88,135.0,1,7,710.0,1,SPOKED,False,609.6,SPOKED,690.0,7,60.96,1,570.0,609.6,80.0,80.0,45.0,460.0,0,10.0,52.0,30.0,50.0,31.0,34.0,100.0,200.0,0.0,100.0,10.0,2,10.0,20.0,10.0,0.0,0,100.0,145.0,16.0,40.0,110.0,30.0,170.0,0,20.0,False,30.0,0.0,-40.0,16.0,30.0,68.0,30.0,15.0,150.0,40.0,87.0,110.0,139.0,52,CAMPAGNOLO,10.0,50.0,10.0,29.0,1,50.0,40.0,0,38.0,32.0,38.0,32.0,1,19.1,73.0,60.0,30.0,19.1,45.0,0.0,692.0,54.9,30.0,25.4,40.0,60.0,31.8,1,0.0,25.4,36.0,30.0,8.0,45.0,0,-2.0,0.0,26.0,26.0,15.0,200.0,20.0,28.0,18.0,300.0,False,45.0,20.0,20.0,9.0,20.0,200.0,16.0,0.0,,,,,,,,False,False,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,90.0,170.0,1,2,160.0,81.0,14,15,17,18,19,21,23,23,BRAZEON,89.0,25,0,18,39,24,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
829,TRIALS,-60.0,98.0,565.6,14.0,60.0,334.51,660.0,18.0,26.0,74.0,360.0,480.0,55.88,135.0,1,7,560.0,1,SPOKED,False,520.0,SPOKED,560.0,7,55.88,1,500.0,486.0,80.0,80.0,45.0,320.0,0,10.0,40.0,0.0,45.0,39.0,40.0,60.0,130.0,10.0,300.0,10.0,2,10.0,20.0,25.0,0.0,0,100.0,145.0,16.0,50.0,160.0,30.0,170.0,0,20.0,False,30.0,0.0,-40.0,20.0,50.0,68.0,-6.0,15.0,150.0,40.0,87.0,110.0,139.0,52,CAMPAGNOLO,10.0,50.0,10.0,29.0,1,50.0,40.0,0,30.0,26.0,30.0,26.0,1,19.1,68.0,60.0,36.0,19.1,45.0,0.0,692.0,54.9,36.0,25.4,40.0,60.0,30.0,1,0.0,25.4,36.0,30.0,8.0,45.0,0,0.0,0.0,18.0,20.0,15.0,200.0,30.0,40.0,18.0,300.0,False,16.0,20.0,17.0,9.0,13.0,200.0,16.0,0.0,,,,,,,,False,False,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,80.0,140.0,1,0,140.0,90.0,14,15,17,18,19,21,23,23,BRAZEON,80.0,25,0,16,39,24,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
830,MTB,70.0,516.9,565.6,30.9,74.0,405.0,585.0,50.9,54.1,73.0,720.0,582.0,23.0,130.0,1,7,674.0,2,SPOKED,True,622.0,SPOKED,674.0,7,23.0,1,582.0,622.0,80.0,80.0,45.0,403.0,1,10.0,52.0,0.0,50.0,30.0,34.0,148.0,278.0,21.0,300.0,13.7,0,24.8,10.0,-5.0,0.0,0,100.0,145.0,16.0,40.0,100.0,30.0,170.0,0,20.0,False,30.0,0.0,0.0,16.4,-10.0,68.0,10.0,15.0,150.0,40.0,87.0,110.0,139.0,52,CAMPAGNOLO,10.0,50.0,10.0,29.0,1,50.0,40.0,0,38.1,34.9,38.1,34.9,1,19.1,68.0,60.0,31.8,19.1,45.0,0.0,692.0,54.9,31.8,25.4,40.0,60.0,31.8,2,0.0,25.4,36.0,30.0,8.0,45.0,0,0.0,0.0,17.0,18.1,15.0,200.0,17.0,29.7,18.0,300.0,False,45.0,13.0,17.0,9.0,13.0,200.0,16.0,0.0,,,,200.0,0.0,14.0,15.0,False,True,,20.0,190.0,True,True,180.0,20.0,-10.0,80.0,146.0,150.0,172.5,1,8,140.0,81.0,14,15,17,18,19,21,23,23,BRAZEON,89.0,25,1,53,39,24,8.0,1.6,3.95,FD9000F,0,FDM9000D,FD9000B,False,0
